Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Move Your Body,"Öwnboss, Sevek",Move Your Body,4l9wMVL4XAM5jPMXP5RAbL,6GomT970rCOkKAyyrwJeZi,81,2021-10-29,157445,False,https://open.spotify.com/track/6GomT970rCOkKAyyrwJeZi,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051
LOKERA,"Rauw Alejandro, Lyanno, Brray",LOKERA,4vJcqwIGUuk5TeP29OPovU,79HZAZNnOE97rb2hnI0XQr,80,2022-07-25,195294,True,https://open.spotify.com/track/79HZAZNnOE97rb2hnI0XQr,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019
In Ha Mood,Ice Spice,In Ha Mood,0CQzO0dUktGpymhtvrIXqW,0yUaLqhsVsguBpoOPL4cO7,80,2023-01-06,129362,True,https://open.spotify.com/track/0yUaLqhsVsguBpoOPL4cO7,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059
Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",Where Did You Go (feat. MNEK),5vSLX6JljaSXuRY2Wqi6xL,3sa06xVNmLLYIxdNNmVQN8,80,2022-02-04,177689,False,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
La Llevo Al Cielo (Ft. Ñengo Flow),"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),0WEtvlRZhn9bZLHbjCLSv2,6DoL1yYIwEW7VZMRaJhoJI,80,2022-05-20,254920,True,https://open.spotify.com/track/6DoL1yYIwEW7VZMRaJhoJI,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),5wJb3DBSoSMKYJA8TrNKi8,6Dy1jexKYriXAVG6evyUTJ,80,2021-08-13,162604,False,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97
Element,Pop Smoke,Meet The Woo 2,4MZnolldq7ciKKlbVDzLm5,57BGVV6wcyhbn3hsjlqEZB,80,2020-02-07,135747,True,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311
Heaven Takes You Home (feat. Connie Constance),"Swedish House Mafia, Connie Constance",Paradise Again,2Dbe9L757CSQbhnbW5PVSH,3nEHrvNNtgLv9rneTAYVr4,80,2022-04-15,214071,False,https://open.spotify.com/track/3nEHrvNNtgLv9rneTAYVr4,0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037
Come & Go (with Marshmello),"Juice WRLD, Marshmello",Legends Never Die,6n9DKpOxwifT5hOXtgLZSL,2Y0wPrPQBrGhoLn14xRYCG,79,2020-07-10,205485,True,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991
Red Ruby Da Sleeze,Nicki Minaj,Red Ruby Da Sleeze,0zCHOD0Z8yOrIP1fw7u1J6,4ZYAU4A2YBtlNdqOUtc7T2,79,2023-03-03,214445,True,https://open.spotify.com/track/4ZYAU4A2YBtlNdqOUtc7T2,0.696,0.733,1,-6.181,1,0.256,0.115,0.0,0.111,0.292,98.355
Little Girl Gone,CHINCHILLA,Little Girl Gone,1vTHLsE6MttzdRfg2ZkU4I,5OLcsBO28uWHMzS0EEeZNp,79,2023-04-21,188596,True,https://open.spotify.com/track/5OLcsBO28uWHMzS0EEeZNp,0.706,0.675,1,-6.351,0,0.237,0.177,0.0,0.0852,0.516,159.961
Where You Are,"John Summit, Hayla",Where You Are,4bIEy1wDeaEklS1BanbsmR,4qDpLaFGf5ampf2DXD2TMA,79,2023-03-03,236000,False,https://open.spotify.com/track/4qDpLaFGf5ampf2DXD2TMA,0.56,0.832,9,-6.432,0,0.0363,0.00953,0.00541,0.546,0.0818,126.0
ULTRA SOLO REMIX,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,7JsxzI8o2TI71jHBOIsgqm,6wtZPYBIXUvCpXwVjMCJBf,79,2022-06-16,322347,False,https://open.spotify.com/track/6wtZPYBIXUvCpXwVjMCJBf,0.909,0.824,1,-4.627,1,0.0797,0.0777,0.00387,0.0638,0.585,109.97
Tell Me Why - MEDUZA Remix,"Supermode, MEDUZA",Tell Me Why (MEDUZA Remix),6CTjQWx50yUs4wNu95cnlM,7jrMFjEq0t09f7m3HnnWXl,79,2022-09-02,171429,False,https://open.spotify.com/track/7jrMFjEq0t09f7m3HnnWXl,0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988
Remember,"Becky Hill, David Guetta",Remember,6DHfD3rZapWFmEKX1FNNZF,4laAKIq9ZxBCwf99rauPYb,79,2021-06-18,160766,False,https://open.spotify.com/track/4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",Certified Lover Boy,3SpBlxme9WbeQdI9kx7KAV,0k1WUmIRnG3xU6fvvDVfRG,79,2021-09-03,257605,True,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
